id,trigger,conditions,script,text,options,notes
,
#
#Adds MUD to black markets if enabled in settings
#
marketAddMillerUreyDeviceToBlackMarket,PopulateOptions,$hasMarket,addMillerUreyDeviceToMarket,,,
#
#Cruor main menu dialog tree
#
marketAddVegaRescueOption,PopulateOptions,"$tag:boggled_lobster_quest_fireVegaRescue
cruorPopulateVegaRescueOption",,,"0:considerVegaRaid:Consider your options to rescue Vega",
considerVegaRaid1,DialogOptionSelected,"$option == considerVegaRaid
playerOwnsCruor",,"According to the information provided by Simmons, Vega is being held in a labor camp run by Commandant Walter Horn.

Cruor is under your control. You could contact Commandant Horn via the comm directory and order him to release Vega into your custody.","0:cutCommLinkNoText:Continue",
considerVegaRaid2,DialogOptionSelected,"$option == considerVegaRaid
!playerOwnsCruor",,"According to the information provided by Simmons, Vega is being held in a labor camp run by Commandant Walter Horn.

You could launch a raid on the labor camp to free Vega. Aternatively, you could contact Commandant Horn via the comm directory and attempt to free her without risking your marines.","0:examineRaidFeasibility:Ask your ground commander about the feasibility of a raid
1:cutCommLinkNoText:Go Back",
examineRaidFeasibility1,DialogOptionSelected,"$option == examineRaidFeasibility
raidFeasibilityBoolean",,"Your ground commander grimaces as he reviews images of the camp taken from orbit. ""The defenses at this facility are extensive. They have armored ground vehicles, and anti-ship batteries are located near the prison complex. Worse yet, we can't fire on them from orbit because we might accidentally kill the extraction target."" He thinks for a moment. ""We have enough marines to mount an assault. However, I estimate our forces will suffer hundreds of casualties.""","0:confirmLaunchRaid:Lauch the raid
1:reconsiderLaunchingRaid:Reconsider launching the raid",
examineRaidFeasibility2,DialogOptionSelected,"$option == examineRaidFeasibility
!raidFeasibilityBoolean",,"Your ground commander grimaces as he reviews images of the camp taken from orbit. ""The defenses at this facility are extensive. They have armored ground vehicles, and anti-ship batteries are located near the prison complex. Worse yet, we can't fire on them from orbit because we might accidentally kill the extraction target."" He thinks for a moment. ""We'll need at least 500 marines to have a reasonable probability of success. We should recruit more troops, or find a different way to free Vega.""","0:cutCommLinkNoText:Go Back",
reconsiderLaunchingRaid,DialogOptionSelected,"$option == reconsiderLaunchingRaid",,"You decide not to launch a raid at this time.","0:cutCommLink:Go Back",
confirmLaunchRaid,DialogOptionSelected,"$option == confirmLaunchRaid",,"Your dropships disappear from view one by one as they enter Cruor's hazy atmosphere. ""Thermal sensors are showing that the anti-ship batteries at the facility have lost power,"" exclaims one of your crewmembers. ""Why are they shutting down their defenses?""

Your ground commander looks stunned. He presses a button on the comms console. ""What's going on down there?"" 

""Sir, we're taking small-arms fire but nothing from the batteries. If those batteries stay down, this will be a piece of cake,"" comes the crackling response.","0:continueToConclusionOfRaid:Continue",
continueToConclusionOfRaid,DialogOptionSelected,"$option == continueToConclusionOfRaid","removeMarineCasualtiesFromRaid
displayMessageMarinesLost","Your crew watches the helmet feeds with anticipation as your marines engage the defenders. The armored vehicles inflict some casualties on your troops, but once they're destroyed the rest of the hostile forces surrender. Your marines systematically search the facility, and eventually you receive news that Elena Vega has been found and is being brought back to your flagship.","0:startElenaVegaConversation:Continue",
#
#Walter Horn interactions
#
